Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
"M
Meituan Dianping",Series A,"$2,800.00M",10/07/2015,N/A,Meituan Dianping (SEHK: 3690) was formed by the merger of Meituan (美团) and Dianping (大众点评). Meituan is a China-based group discount platform. Dianping is a Chinese location-based dining information and group-buying website.,eCommerce,China,"$7,300.00M",N/A
"B
British Car Auctions Ltd.",Reverse Merger,"$1,823.35M",04/01/2015,N/A,"Operator of a used-vehicle marketplace. The company operates a multi-channel exchange that provides a platform for matching vendors and buyers in the B2B used-vehicle market. Buyers include car supermarkets, franchise dealers, independent dealers, light commercial vehicle (LCV) dealers and used-vehicle traders. Vendors include manufacturers, contract hire and leasing companies, rental companies, finance houses, dealerships, traders and car buying services. The transaction between seller and buyer is conducted primarily in an auction environment: physical, hybrid or digital.",eCommerce,United Kingdom,,N/A
Airbnb,Series E,"$1,500.00M",06/27/2015,N/A,"Airbnb (NASDAQ: ABNB) is a community marketplace for people to list, discover, and book accommodations around the world online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to travel experiences, at any price point.",eCommerce,United States,"$6,625.65M",N/A
Auto Trader,IPO,"$1,384.05M",03/19/2015,N/A,"Auto Trader Group, formerly Trader Media Group, is a digital automotive marketplace. Auto Trader sits at the heart of the UK's vehicle buying process and its primary activity is to help vehicle retailers compete effectively on the marketplace in order to sell more vehicles, faster.",eCommerce,United Kingdom,,N/A
Scout24,IPO,"$1,300.00M",10/01/2015,N/A,"Scout24 is an operator of digital marketplaces with a focus on real estate and automobiles. The company was founded in 1998 by Beisheim Holding Schweiz AG. AutoScout24 and ImmobilienScout24 became the first online marketplaces operated by Scout24. In the following year, the group expanded and launched FinanceScout24, JobScout24 and FriendScout24. In 2001, numerous other company locations were established, including in Italy and Spain. Just one year later, TravelScout24 went online, which is now operated by third parties under a licence and cooperation agreement. At that time, the individual marketplaces were already bundled under the umbrella brand Scout24.In December 2019, Scout24 agreed to sell AutoScout24 to private equity investor Hellman & Friedman (H&F) for 2.9 billion euros ...",eCommerce,Germany,,N/A
SoFi,Series E,"$1,000.00M",08/19/2015,N/A,"SoFi is an online personal finance company that helps people borrow, save, spend, invest, and protect their money all from a mobile device or desktop computer. The company provides the tools for people to do everything from one app on their phone.",eCommerce,United States,"$2,694.07M",N/A
Dianping,Series F,$850.00M,04/15/2015,N/A,Dianping is a Chinese location-based dining information and group-buying website.,eCommerce,China,"$1,489.00M",N/A
MYOB Group,IPO,$655.12M,05/01/2015,N/A,"MYOB Group develops and publishes software in Australia and New Zealand. It operates through three segments: Clients and Partners, Enterprise Solutions, and Payment Solutions. The Clients and Partners segment offers accounting, payroll, tax, and other business management solutions that assist in the management of small and medium enterprise (SME) businesses; and completion of compliance, including tax and accounting through advisers. It provides its solution for SMEs and advisers, with secure bank transaction data from banks and other financial institutions, as well as accounting professionals in practice. The Enterprise Solutions segment offers business management software, such as enterprise resource planning, payroll and human capital management, and human resource management sol...",Internet Software & Services,Australia,,N/A
"E
Ele.me",Series F,$630.00M,08/27/2015,N/A,Ele.me is a China-based online food ordering site. Its website and apps enable users to search for restaurants nearby and make orders without needing to register.,eCommerce,China,"$3,335.00M",N/A
"I
Inovalon",IPO,$599.99M,02/12/2015,N/A,"Inovalon is a technology company that combines advanced, cloud-based data analytics and data-driven intervention platforms to achieve meaningful insight and improvement in clinical and quality outcomes, utilization, and financial performance across the healthcare landscape. Its platforms drive high-value impact, improving quality and economics for health plans, hospitals, physicians, patients, pharmaceutical companies, and researchers.",Internet Software & Services,United States,,N/A
Flipkart,Series I,$550.00M,05/19/2015,N/A,"Flipkart is a destination for online shopping in India, with payment options through cash on delivery, debit card, credit card, and net banking processed through secure and trusted gateways. Stocked items include favorite books, apparel, footwear, lifestyle accessories, baby care products, toys, posters, sports and fitness, mobile phones, laptops, cameras, movies, music, health and beauty, televisions, refrigerators, air-conditioners, washing machines, MP3 players, and products from a host of other categories available.",eCommerce,India,"$6,186.05M",N/A
Spotify,Series G,$526.00M,06/10/2015,N/A,"Spotify is a digital music-streaming service that provides on-demand access to songs on devices, computers, mobiles, tablets, and home entertainment systems. Its services allow subscribers to search and discover music collections of friends, artists, and celebrities; build a personal collection playlist; and share music on Spotify, Facebook, Twitter, blogs, and via email with friends. The company also allows artists to post tracks on social networks, share them with fans, and promote their career. In addition, it provides advertising services.",Internet Software & Services,Sweden,"$2,272.56M",N/A
Zenefits,Series C,$500.00M,05/06/2015,N/A,"Zenefits is a SaaS cloud-based human resources platform that helps more small and mid-sized companies empower their workforce, manage change and stay compliant. Zenefits' People Platform delivers an intuitive HR experience. Its HR, Benefits, Payroll and Performance apps combine with advisory services and tightly integrated partner apps to radically simplify HR administration – reducing paperwork and complexity so companies can focus on starting, running and growing their businesses.",Internet Software & Services,United States,$583.62M,N/A
"W
Wish",Series E,$500.00M,05/18/2015,N/A,"Wish (NASDAQ: WISH) is an e-commerce platform putting a digital shopping mall of affordable goods directly in the pockets of consumers worldwide. Wish employs big data principles, machine learning, and search technologies to create a highly-visual and personalized browsing experience for each user.",eCommerce,United States,"$1,768.70M",N/A
Jet.com,Series B,$500.00M,11/04/2015,N/A,"Jet.com is an e-commerce platform where members have access to items, including clothes, books, and electronics to baby goods and athletic gear, for the lowest prices online.",eCommerce,United States,$725.00M,N/A
