Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
"M
Meituan Dianping",Series C,"$4,000.00M",10/19/2017,N/A,Meituan Dianping (SEHK: 3690) was formed by the merger of Meituan (美团) and Dianping (大众点评). Meituan is a China-based group discount platform. Dianping is a Chinese location-based dining information and group-buying website.,eCommerce,China,"$7,300.00M",N/A
NetMarble,IPO,"$2,379.86M",04/21/2017,N/A,"NetMarble, formerly CJ Games, part of CJ E&M Global Media Group, is a South Korean gaming company. CJ E&M provides online gaming services to over 35,000,000 members. As the first Korean online game publishing company, CJ E&M has produced MMORPGs, casual, sports, FPS, webboard, and other games that lead the trend and is a global portal that has exported games to over 20 countries worldwide.",Internet Software & Services,South Korea,$500.00M,N/A
"Z
ZhongAn Insurance",IPO,"$1,500.00M",09/28/2017,N/A,ZhongAn Insurance (HKG: 6060) is a Shanghai-based Internet insurance company.,eCommerce,China,$931.00M,N/A
Flipkart,Series J,"$1,400.00M",03/20/2017,N/A,"Flipkart is a destination for online shopping in India, with payment options through cash on delivery, debit card, credit card, and net banking processed through secure and trusted gateways. Stocked items include favorite books, apparel, footwear, lifestyle accessories, baby care products, toys, posters, sports and fitness, mobile phones, laptops, cameras, movies, music, health and beauty, televisions, refrigerators, air-conditioners, washing machines, MP3 players, and products from a host of other categories available.",eCommerce,India,"$6,186.05M",N/A
Flipkart,Series J - II,"$1,400.00M",08/10/2017,N/A,"Flipkart is a destination for online shopping in India, with payment options through cash on delivery, debit card, credit card, and net banking processed through secure and trusted gateways. Stocked items include favorite books, apparel, footwear, lifestyle accessories, baby care products, toys, posters, sports and fitness, mobile phones, laptops, cameras, movies, music, health and beauty, televisions, refrigerators, air-conditioners, washing machines, MP3 players, and products from a host of other categories available.",eCommerce,India,"$6,186.05M",N/A
Tokopedia,Series F,"$1,100.00M",08/17/2017,N/A,"Tokopedia is an Indonesian-based online mall that brings together buyers and sellers to allow online transactions securely and comfortably.On April 16, 2021, Tokopedia merged with Gojek to form GoTo.",eCommerce,Indonesia,"$3,297.70M",N/A
"C
China Literature",IPO,"$1,100.00M",11/08/2017,N/A,"China Literature (HKG: 0772), aka Yuewen or China Reading, operates an online reading and literature platform that provides its online readers with easy access to its vast and diverse content library and enables writers to create and publish original literary content online. China Literature operates a multi-layered content distribution network and provides its content directly to the largest online audience for original online literary works in China. China Literature has nine major branded platforms, including ""QQ Reading"", ""qidian.com"", ""qdmm.com"", ""chuangshi.qq.com"", ""yunqi.qq.com"", ""xxsy.net"", ""hongxiu.com"", ""readnovel.com"", and ""xs8.cn"". Its flagship product, QQ Reading, is a one-stop shop for high-quality content across its products, while other branded products focus more sp...",eCommerce,China,,N/A
"Q
Qudian",IPO,$900.00M,10/18/2017,N/A,"Qudian (NYSE: QD) is an electronics retailer from China that lets buyers pay in monthly installments. Qudian focuses on smartphones, laptops, and other consumer electronics. The business model is tailored for students and young white collar workers. Customers can choose their own down payment and the number of months over which they will make regular installments to pay for an item, up to a maximum of two years. The final price and monthly required payments are transparently shown right on the product page.",eCommerce,China,$954.67M,N/A
Sea,IPO,$884.40M,10/20/2017,N/A,"Sea operates an online gaming platform, an eCommerce platform, and a digital financial services platform. Garena, a digital entertainment platform, provides mobile and PC online games across Greater Southeast Asia. Shopee is a mobile-centric eCommerce marketplace that connects buyers and sellers to facilitate a fast and seamless shopping experience for all. AirPay, a digital financial services platform, provides e-wallet services to consumers through the AirPay App and to small businesses through the AirPay counter application.",Internet Software & Services,Singapore,$722.00M,N/A
"Y
Yixin Group",IPO,$867.00M,11/16/2017,N/A,"Yixin (易鑫集团) (HKG :2858) is the developer and operator of an online retail automobile transaction platform that connects Chinese consumers to a network of automakers, auto dealers, financers, insurance companies, and aftermarket service providers.",Internet Software & Services,China,"$3,240.80M",N/A
