Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
"A
Ant Group",Series B,"$4,500.00M",04/26/2016,N/A,"Ant Group is a technology company that offers financial services, serving small and micro enterprises and consumers. Ant Group is dedicated to building an open ecosystem of technologies while working with other financial institutions to support the future financial needs of society. The company's products include Alipay, a payment and lifestyle platform, Ant Fortune, a comprehensive wealth management app, and Zhima Credit, an independent, private, alternative credit service.",Internet Software & Services,China,"$19,144.67M",N/A
"L
Lu.com",Series B,"$1,216.00M",01/08/2016,N/A,Lu.com (NYSE:LU) is an Internet wealth management company that operates online lending platforms. Lu.com provides financing and lending services for small and medium enterprises and individual clients.,Internet Software & Services,China,"$4,321.00M",N/A
LeSports,Series A,"$1,200.00M",02/19/2016,N/A,LeSports is an online sports video streaming business.,Internet Software & Services,China,"$1,695.78M",N/A
"J
JD Digits",Series A,"$1,010.00M",02/01/2016,N/A,"JD Digits is a digital technology company that provides a range of financial services and products to consumers, startups, SMEs and other businesses in China. Its business lines include supply chain finance, consumer finance, crowdfunding, asset management, payment solutions, insurance, and securities. In particular, the company offers a ""one-stop"" online investment and financing platform. The company is the financial technology arm of JD.com. It is involved in many fields, including finance, urban computing, agriculture, campus services and digital marketing.",Internet Software & Services,China,"$1,261.47M",N/A
"S
Suning Financial Services",Series A,$897.74M,04/24/2016,N/A,"Suning Financial Services, part of Suning Holdings, is an O2O financial service company. Suning Financial Services has expanded into payment accounts, supply chain finance, consumer loans, investment and wealth management, crowd funding, insurance and pre-paid cards.",Internet Software & Services,China,"$3,118.65M",N/A
"L
Lianjia",Series B,$872.00M,04/07/2016,N/A,Lianjia offers an online platform for rental and second-hand real estate transactions.,Internet Software & Services,China,"$1,701.26M",N/A
"B
Best Logistics Technologies",Series F,$760.00M,09/07/2016,N/A,"Best Logistics Technologies (NYSE: BSTI) is a smart supply chain company developing a platform that enables retail by providing technology-enabled integrated solutions. Its solutions encompass supply chain management, express delivery, freight, merchandise sourcing, cross-border supply chain, last-mile, financial and value-added services.",Internet Software & Services,China,$811.49M,N/A
"W
Weiying Technology",Series C - II,$694.00M,04/27/2016,N/A,"Weiying Technology operates WePiao (娱票儿), a Chinese ticketing app integrated into WeChat and QQ.",eCommerce,China,"$1,034.13M",N/A
Pivotal Software,Series C,$653.00M,05/05/2016,N/A,"Pivotal Software is a cloud-software company which provides tools that make it easier for developers to build software.On December 30, 2019, Pivotal Software was acquired by VMware at a valuation of $2.7B.",Internet Software & Services,United States,$758.00M,N/A
Airbnb,Series F,$555.46M,08/08/2016,N/A,"Airbnb (NASDAQ: ABNB) is a community marketplace for people to list, discover, and book accommodations around the world online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to travel experiences, at any price point.",eCommerce,United States,"$6,625.65M",N/A
"Y
Yixin Group",Series C,$550.00M,08/03/2016,N/A,"Yixin (易鑫集团) (HKG :2858) is the developer and operator of an online retail automobile transaction platform that connects Chinese consumers to a network of automakers, auto dealers, financers, insurance companies, and aftermarket service providers.",Internet Software & Services,China,"$3,240.80M",N/A
"M
Meituan Dianping",Series B,$500.00M,01/19/2016,N/A,Meituan Dianping (SEHK: 3690) was formed by the merger of Meituan (美团) and Dianping (大众点评). Meituan is a China-based group discount platform. Dianping is a Chinese location-based dining information and group-buying website.,eCommerce,China,"$7,300.00M",N/A
"Q
Qudian",Series F,$449.00M,07/08/2016,N/A,"Qudian (NYSE: QD) is an electronics retailer from China that lets buyers pay in monthly installments. Qudian focuses on smartphones, laptops, and other consumer electronics. The business model is tailored for students and young white collar workers. Customers can choose their own down payment and the number of months over which they will make regular installments to pay for an item, up to a maximum of two years. The final price and monthly required payments are transparently shown right on the product page.",eCommerce,China,$954.67M,N/A
Oscar Health,Series C,$400.00M,02/22/2016,N/A,"Oscar Health (NYSE: OSCR) is a technology-driven, consumer-focused, health insurance company using technology and personalized service to give members transparency into the health care system and empower them to choose quality, affordable care. The Oscar member experience includes a personalized concierge team that helps members do everything from finding a doctor to processing a claim, a 24/7 Doctor on Call service for members on the go, and an integrated, curated network of physicians and hospitals.",Internet Software & Services,United States,"$1,632.50M",N/A
Just Eat Takeaway.com,IPO,$368.00M,09/30/2016,N/A,"Just Eat Takeaway.com (NASDAQ: GRUB) is an online food delivery marketplace in Continental Europe, connecting consumers and restaurants through its platform in European countries and Vietnam.",eCommerce,Netherlands,$119.34M,N/A
